file,path,expected,found,text_ok,misdecode,dup,ms,tags
c000124_1,2stage,1,1,1,0,0,19.197,mixed;mod-5px+;sym-EAN13;underexposed;sym-EAN_13;n1;img-ok
c000125_1,2stage,1,1,1,0,0,7.315,mixed;clutter-label;mod-5px+;sym-CODE39;overexposed;noise-strong;sym-CODE_39;n1;img-ok
c000126_11,2stage,11,1,1,0,0,2.087,mixed;clutter-warehouse;mod-3px;sym-EAN13;rot-free;sym-CODE39;damaged;sym-CODE128;lowcontrast;perspective;inverted;rot-small;sym-ITF;mod-5px+;sym-QR;printdefect;quietzone;sym-CODE_128;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n11;img-ok
c000127_1,2stage,1,1,1,0,0,7.790,mixed;mod-5px+;sym-QR;rot-free;curved;underexposed;sym-QR_CODE;n1;img-ok
c000128_5,2stage,5,1,1,0,0,2.069,mixed;clutter-warehouse;mod-3px;sym-CODE39;inverted;rot-free;lowcontrast;sym-ITF;mod-5px+;sym-QR;damaged;rot-small;perspective-strong;quietzone;sym-CODE_39;sym-QR_CODE;n5;img-ok
c000129_1,2stage,1,0,0,0,0,501.860,mixed;clutter-falsepattern;mod-5px+;sym-ITF;rot-free;dirty;n1;img-ok
c000130_5,2stage,5,1,1,0,0,1.572,mixed;mod-5px+;sym-QR;mod-3px;sym-ITF;lowcontrast;printdefect;rot-small;sym-EAN13;inverted;dpm;perspective;dirty;sym-EAN_13;sym-QR_CODE;n5;img-ok
c000132_3,2stage,3,3,3,0,0,16.064,mixed;mod-5px+;sym-QR;rot-ortho;perspective-strong;sym-ITF;quietzone;underexposed;sym-QR_CODE;n3;img-ok
c000133_1,2stage,1,1,1,0,0,1.283,mixed;clutter-label;mod-5px+;sym-QR;quietzone;sym-QR_CODE;n1;img-ok
c000134_2,2stage,2,1,1,0,0,14.408,mixed;mod-5px+;sym-EAN13;inverted;rot-free;quietzone;shadow;overexposed;sym-EAN_13;n2;img-ok
c000135_1,2stage,1,1,1,0,0,10.703,mixed;mod-3px;sym-QR;inverted;rot-small;noise;sym-QR_CODE;n1;img-ok
c000140_1,2stage,1,1,1,0,0,1.671,mixed;mod-5px+;sym-CODE128;damaged;overexposed;noise-strong;sym-CODE_128;n1;img-ok
c000143_2,2stage,2,1,1,0,0,3.247,mixed;clutter-falsepattern;mod-3px;sym-CODE39;inverted;mod-5px+;sym-EAN13;lowcontrast;printdefect;overexposed;sym-CODE_39;sym-EAN_13;n2;img-ok
c000144_1,2stage,1,1,1,0,0,2.445,mixed;mod-5px+;sym-CODE128;damaged;dirty;overexposed;sym-CODE_128;n1;img-ok
c000145_4,2stage,4,2,2,0,0,8.375,mixed;clutter-label;mod-3px;sym-CODE39;lowcontrast;rot-small;sym-QR;damaged;mod-5px+;sym-EAN13;inverted;quietzone;overexposed;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n4;img-ok
c000146_1,2stage,1,1,1,0,0,94.532,mixed;mod-3px;sym-CODE39;rot-ortho;perspective;noise;sym-CODE_39;n1;img-ok
c000147_7,2stage,7,1,1,0,0,11.494,mixed;mod-3px;sym-CODE128;inverted;sym-CODE39;rot-free;sym-QR;mod-5px+;lowcontrast;damaged;rot-small;noise;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n7;img-ok
c000150_1,2stage,1,0,0,0,0,725.254,mixed;clutter-warehouse;mod-3px;sym-QR;rot-free;glare;overexposed;sym-QR_CODE;n1;img-ok
c000151_10,2stage,10,4,4,0,0,27.697,mixed;mod-5px+;sym-QR;rot-free;mod-3px;lowcontrast;printdefect;perspective-strong;sym-CODE39;rot-small;sym-CODE128;rot-ortho;sym-EAN13;damaged;curved;glare;underexposed;sym-CODE_128;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n10;img-ok
c000152_1,2stage,1,1,1,0,0,44.323,mixed;clutter-warehouse;mod-5px+;sym-QR;damaged;perspective;defocus;curved;sym-QR_CODE;n1;img-ok
c000153_2,2stage,2,1,1,0,0,5.630,mixed;clutter-label;mod-5px+;sym-QR;lowcontrast;inverted;dpm;sym-EAN13;perspective;quietzone;noise;sym-EAN_13;sym-QR_CODE;n2;img-ok
c000156_1,2stage,1,1,1,0,0,1.780,mixed;mod-5px+;sym-ITF;rot-small;overexposed;n1;img-ok
c000157_1,2stage,1,1,1,0,0,15.015,mixed;clutter-falsepattern;mod-3px;sym-EAN13;perspective;curved;sym-EAN_13;n1;img-ok
c000158_1,2stage,1,0,0,0,0,371.916,mixed;clutter-label;mod-5px+;sym-QR;lowcontrast;printdefect;dirty;sym-QR_CODE;n1;img-ok
c000160_11,2stage,11,2,2,0,0,15.024,mixed;clutter-falsepattern;mod-3px;sym-QR;sym-ITF;printdefect;sym-CODE39;rot-ortho;mod-5px+;perspective;sym-CODE128;quietzone;shadow;noise;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n11;img-ok
c000163_1,2stage,1,1,1,0,0,15.470,mixed;mod-3px;sym-CODE128;perspective;quietzone;curved;overexposed;sym-CODE_128;n1;img-ok
